date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:01	212/212	---M--	302	error ('Found')	text/html	date:Wed,%2009%20Mar%202016%2007:34:49%20GMT	http://mepro.in/robots.txt		(from )
13:05:02	5027/5027	---M--	200	added ('OK')	text/html	etag:%224a40d4-13a3-4d50c49d71980%22	http://mepro.in/	C:/Users/dell/Desktop/micro/mepro.in/index.html	(from )
13:05:02	16638/16638	---M--	200	added ('OK')	text/css	etag:%224a40d7-40fe-4d50ce2aaa280%22	http://mepro.in/style.css	C:/Users/dell/Desktop/micro/mepro.in/style.css	(from http://mepro.in/)
13:05:03	3579/3579	---M--	200	added ('OK')	text/html	etag:%224a40da-dfb-4d50c498ace40%22	http://mepro.in/our-objectives.html	C:/Users/dell/Desktop/micro/mepro.in/our-objectives.html	(from http://mepro.in/)
13:05:03	3563/3563	---M--	200	added ('OK')	text/html	etag:%224a40d9-deb-4d50c497b8c00%22	http://mepro.in/our-quality-statement.html	C:/Users/dell/Desktop/micro/mepro.in/our-quality-statement.html	(from http://mepro.in/)
13:05:03	5400/5400	---M--	200	added ('OK')	text/html	etag:%224a40d3-1518-4d50c49d71980%22	http://mepro.in/plant-overview.html	C:/Users/dell/Desktop/micro/mepro.in/plant-overview.html	(from http://mepro.in/)
13:05:04	3827/3827	---M--	200	added ('OK')	text/html	etag:%224a401a-ef3-4d50c498ace40%22	http://mepro.in/approvals.html	C:/Users/dell/Desktop/micro/mepro.in/approvals.html	(from http://mepro.in/)
13:05:04	5463/5463	---M--	200	added ('OK')	text/html	etag:%224a40d5-1557-4d50ce3063000%22	http://mepro.in/gallery.html	C:/Users/dell/Desktop/micro/mepro.in/gallery.html	(from http://mepro.in/)
13:05:04	4852/4852	---M--	200	added ('OK')	text/html	etag:%224a40d2-12f4-4d50c49c7d740%22	http://mepro.in/business-development.html	C:/Users/dell/Desktop/micro/mepro.in/business-development.html	(from http://mepro.in/)
13:05:05	20748/20748	---M--	200	added ('OK')	text/html	etag:%224a40d8-510c-4d50c49f59e00%22	http://mepro.in/tablets-capsules.html	C:/Users/dell/Desktop/micro/mepro.in/tablets-capsules.html	(from http://mepro.in/)
13:05:05	4714/4714	---M--	200	added ('OK')	text/html	etag:%224a40d1-126a-4d50c49c7d740%22	http://mepro.in/creams-ointments.html	C:/Users/dell/Desktop/micro/mepro.in/creams-ointments.html	(from http://mepro.in/)
13:05:05	4474/4474	---M--	200	added ('OK')	text/html	etag:%224a40cf-117a-4d50c49a952c0%22	http://mepro.in/injectables.html	C:/Users/dell/Desktop/micro/mepro.in/injectables.html	(from http://mepro.in/)
13:05:06	5985/5985	---M--	200	added ('OK')	text/html	etag:%224a40d6-1761-4d50c49e65bc0%22	http://mepro.in/regulatory-affairs.html	C:/Users/dell/Desktop/micro/mepro.in/regulatory-affairs.html	(from http://mepro.in/)
13:05:06	4277/4277	---M--	200	added ('OK')	text/html	etag:%224a402a-10b5-4d50c499a1080%22	http://mepro.in/global-presence.html	C:/Users/dell/Desktop/micro/mepro.in/global-presence.html	(from http://mepro.in/)
13:05:06	4497/4497	---M--	200	added ('OK')	text/html	etag:%224a40d0-1191-4d50c49a952c0%22	http://mepro.in/careers.html	C:/Users/dell/Desktop/micro/mepro.in/careers.html	(from http://mepro.in/)
13:05:06	3611/3611	---M--	200	added ('OK')	text/html	etag:%224a400f-e1b-4d50ce3804200%22	http://mepro.in/contact-us.html	C:/Users/dell/Desktop/micro/mepro.in/contact-us.html	(from http://mepro.in/)
13:05:07	186/186	---M--	200	added ('OK')	image/png	etag:%223147fe-ba-4d4fd8d1ac980%22	http://mepro.in/images/mepro_nav.png	C:/Users/dell/Desktop/micro/mepro.in/images/mepro_nav.png	(from http://mepro.in/style.css)
13:05:08	6150/6150	---M--	200	added ('OK')	image/jpeg	etag:%223147e9-1806-4d4fd8ced02c0%22	http://mepro.in/images/header-bg.jpg	C:/Users/dell/Desktop/micro/mepro.in/images/header-bg.jpg	(from http://mepro.in/style.css)
13:05:09	25984/25984	---M--	200	added ('OK')	application/javascript	etag:%2229d1ea-6580-4d50ca4bcc0c0%22	http://mepro.in/js/mepro.js	C:/Users/dell/Desktop/micro/mepro.in/js/mepro.js	(from http://mepro.in/)
13:05:10	20206/20206	---M--	200	added ('OK')	image/png	etag:%223147fd-4eee-4d4fd8d1ac980%22	http://mepro.in/images/mepro_logo.png	C:/Users/dell/Desktop/micro/mepro.in/images/mepro_logo.png	(from http://mepro.in/style.css)
13:05:17	93636/93636	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/Users/dell/Desktop/micro/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from http://mepro.in/)
13:05:19	63610/63610	---M--	200	added ('OK')	image/jpeg	etag:%2222336f-f87a-4d50bfb38c1c0%22	http://mepro.in/images/slider/mepro-slider3.jpg	C:/Users/dell/Desktop/micro/mepro.in/images/slider/mepro-slider3.jpg	(from http://mepro.in/style.css)
